Standname,Buchungstag,Standstatus,Kunde,Rechnungsnummer,"Standpreis in €",Standbreite,Standtiefe,Stromanschluss,Wasseranschluss,Imbiss,Getränke,Fahrgeschäft/e,Sortiment,"Notizen vom Kunden",Bezahlstatus
"Warendorfer Straße 106",Sonntag,Verkauft,"Maria Sehl (Privat_anlieger)",1468,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 104",Samstag,Verkauft,"Maria Sehl (Privat_anlieger)",1468,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 104",Sonntag,Verkauft,"Maria Sehl (Privat_anlieger)",1468,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 100",Samstag,Verkauft,"Gerti Ermeling (Privat_troedel)",1743,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 100",Sonntag,Verkauft,"Gerti Ermeling (Privat_troedel)",1743,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 94",Samstag,Verkauft,"Lisa Scharnewski (Gewerblich)",1867,50€,3m,"0,60m",Nein,Nein,Nein,Nein,,"Personalisiertes geplottete Kissenbezüge, Schlüsselanhänger, Trinkbecher uvm. (Instagram: liz_plotterwelt)","Wäre es möglich nachträglich doch noch einen Stromanschluss zu bekommen?
Wenn nicht, wäre es auch nicht schlimm :)
Liebe Grüße, Liz","Zahlung ausstehend"
"Warendorfer Straße 94",Sonntag,Verkauft,"Lisa Scharnewski (Gewerblich)",1867,50€,3m,"0,60m",Nein,Nein,Nein,Nein,,"Personalisiertes geplottete Kissenbezüge, Schlüsselanhänger, Trinkbecher uvm. (Instagram: liz_plotterwelt)","Wäre es möglich nachträglich doch noch einen Stromanschluss zu bekommen?
Wenn nicht, wäre es auch nicht schlimm :)
Liebe Grüße, Liz","Zahlung ausstehend"
"Warendorfer Straße 92",Samstag,Verkauft,"Joachim Löckmann (Privat_troedel)",1748,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 92",Sonntag,Verkauft,"Joachim Löckmann (Privat_troedel)",1748,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 90",Samstag,Verkauft,"Joachim Löckmann (Privat_troedel)",1749,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 90",Sonntag,Verkauft,"Joachim Löckmann (Privat_troedel)",1749,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 88",Samstag,Verkauft,"Ferdinand Kappelhoff (Privat_troedel)",1697,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 88",Sonntag,Frei,"Ferdinand Kappelhoff (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 86",Samstag,Verkauft,"Alexandra Kappelhoff (Privat_troedel)",1631,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 86",Sonntag,Frei,"Alexandra Kappelhoff (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 84",Samstag,Verkauft,"Alexandra Kappelhoff (Privat_troedel)",1631,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 84",Sonntag,Verkauft,"Alexandra Kappelhoff (Privat_troedel)",1911,15€,3m,"0,6m",,,,,,,,"Zahlung ausstehend"
"Warendorfer Straße 82",Samstag,Verkauft,"Maria Magdlung (Privat_anlieger)",1576,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 82",Sonntag,Verkauft,"Maria Magdlung (Privat_anlieger)",1576,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 80",Samstag,Verkauft,"Dieter Middendorf (Privat_anlieger)",1477,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 80",Sonntag,Verkauft,"Dieter Middendorf (Privat_anlieger)",1477,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 78",Samstag,Verkauft,"Dieter Middendorf (Privat_anlieger)",1478,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 78",Sonntag,Verkauft,"Dieter Middendorf (Privat_anlieger)",1478,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 76",Samstag,Verkauft,"Marc Benefader (Privat_troedel)",1865,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 76",Sonntag,Frei,"Marc Benefader (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 74",Samstag,Verkauft,"Panagiota Kyparissi (Privat_anlieger)",1517,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 74",Sonntag,Verkauft,"Panagiota Kyparissi (Privat_anlieger)",1517,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 72",Samstag,Verkauft,"Panagiota Kyparissi (Privat_anlieger)",1517,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 72",Sonntag,Verkauft,"Panagiota Kyparissi (Privat_anlieger)",1517,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 70",Samstag,Verkauft,"Claudia Gierhake (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 70",Sonntag,Verkauft,"Claudia Gierhake (Privat_troedel)",1730,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 68",Samstag,Verkauft,"Claudia Gierhake (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 68",Sonntag,Verkauft,"Claudia Gierhake (Privat_troedel)",1730,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 66",Samstag,Verkauft,"Tanja Wekeiser (Privat_troedel)",1872,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 66",Sonntag,Verkauft,"Tanja Wekeiser (Privat_troedel)",1730,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 64",Samstag,Verkauft,"Tanja Wekeiser (Privat_troedel)",1872,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 64",Sonntag,Verkauft,"Tanja Wekeiser (Privat_troedel)",1872,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 62",Samstag,Verkauft,"Annette Lemkau (Gewerblich)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 62",Sonntag,Verkauft,"Annette Lemkau (Gewerblich)",1768,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 60",Samstag,Verkauft,"Lara Niehaus (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 60",Sonntag,Frei,"Lara Niehaus (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 58",Samstag,Verkauft,"Venetha Ketheeswaran (Privat_anlieger)",1575,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 58",Sonntag,Verkauft,"Venetha Ketheeswaran (Privat_anlieger)",1575,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 56",Samstag,Verkauft,"Lena Pischke (Privat_troedel)",1868,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 56",Sonntag,Verkauft,"Lena Pischke (Privat_troedel)",1868,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 54",Samstag,Verkauft,"Jana Wolff (Privat_troedel)",1717,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 54",Sonntag,Verkauft,"Jana Wolff (Privat_troedel)",1717,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 52",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 52",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 50",Samstag,Verkauft,"Sarah Maxelon (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 50",Sonntag,Frei,"Sarah Maxelon (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 48",Samstag,Verkauft,"Sarah Maxelon (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 48",Sonntag,Frei,"Sarah Maxelon (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 46",Samstag,"Reserviert (Admin)","Fethi Gökoglan (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 46",Sonntag,"Reserviert (Admin)","Fethi Gökoglan (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 44",Samstag,Verkauft,"Ilona Bartholomaeus (Privat_troedel)",1845,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 44",Sonntag,Frei,"Ilona Bartholomaeus (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 42",Samstag,Verkauft,"Aurelia Heda (Privat_troedel)",1726,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 42",Sonntag,Frei,"Aurelia Heda (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 40",Samstag,Verkauft,"Aurelia Heda (Privat_troedel)",1724,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 40",Sonntag,Verkauft,"Aurelia Heda (Privat_troedel)",1710,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 38",Samstag,Verkauft,"Katja Koke (Privat_troedel)",1702,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 38",Sonntag,Frei,"Katja Koke (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 36",Samstag,Verkauft,"Katja Koke (Privat_troedel)",1702,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 36",Sonntag,Frei,"Katja Koke (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 36",Samstag,Verkauft,"Katja Koke (Privat_troedel)",1702,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 36",Sonntag,Frei,"Katja Koke (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 32",Samstag,Verkauft,"Achim Hensdiek (Mitglieder)",1814,0€,3m,m,Nein,Nein,Nein,Nein,,,,"Zahlung ausstehend"
"Warendorfer Straße 32",Sonntag,Verkauft,"Achim Hensdiek (Mitglieder)",1814,0€,3m,m,Nein,Nein,Nein,Nein,,,,"Zahlung ausstehend"
"Warendorfer Straße 30",Samstag,Verkauft,"Achim Hensdiek (Mitglieder)",1814,0€,3m,m,Nein,Nein,Nein,Nein,,,,"Zahlung ausstehend"
"Warendorfer Straße 30",Sonntag,Verkauft,"Achim Hensdiek (Mitglieder)",1814,0€,3m,m,Nein,Nein,Nein,Nein,,,,"Zahlung ausstehend"
"Warendorfer Straße 28",Samstag,Verkauft,"Achim Hensdiek (Mitglieder)",1814,0€,3m,m,Nein,Nein,Nein,Nein,,,,"Zahlung ausstehend"
"Warendorfer Straße 28",Sonntag,Verkauft,"Achim Hensdiek (Mitglieder)",1814,0€,3m,m,Nein,Nein,Nein,Nein,,,,"Zahlung ausstehend"
"Warendorfer Straße 26",Samstag,Verkauft,"Patrik Magdlung (Privat_anlieger)",1678,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 26",Sonntag,Verkauft,"Patrik Magdlung (Privat_anlieger)",1678,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 24",Samstag,Verkauft,"Silke Miele (Privat_troedel)",1921,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 24",Sonntag,Frei,"Silke Miele (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 16",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 16",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 14",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 14",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 12",Samstag,Verkauft,"Fethi Gökoglan (Privat_anlieger)",1541,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 12",Sonntag,Verkauft,"Fethi Gökoglan (Privat_anlieger)",1541,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 10",Samstag,Verkauft,"Matthias Freßmann (Privat_anlieger)",1537,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 10",Sonntag,Frei,"Matthias Freßmann (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 8",Samstag,Verkauft,"Elke Buchwald (Privat_troedel)",1642,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 8",Sonntag,Verkauft,"Elke Buchwald (Privat_troedel)",1642,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 6",Samstag,Verkauft,"Monika Siebert (Privat_troedel)",1781,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 6",Sonntag,Verkauft,"Monika Siebert (Privat_troedel)",1781,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 4",Samstag,Verkauft,"Monika Siebert (Privat_troedel)",1781,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 4",Sonntag,Verkauft,"Monika Siebert (Privat_troedel)",1781,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 221",Samstag,Verkauft,"Uwe Wekeiser (Privat_troedel)",1683,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 221",Sonntag,Verkauft,"Uwe Wekeiser (Privat_troedel)",1683,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 219",Samstag,Verkauft,"Uwe Wekeiser (Privat_troedel)",1683,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 219",Sonntag,Verkauft,"Uwe Wekeiser (Privat_troedel)",1683,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 217",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 217",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 215",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 215",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 213",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 213",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 211",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 211",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 209",Samstag,Verkauft,"Katja Hommel (Privat_troedel)",1846,30€,3m,"0,6m",,,,,,,,"Zahlung ausstehend"
"Warendorfer Straße 209",Sonntag,Verkauft,"Katja Hommel (Privat_troedel)",1846,30€,3m,"0,6m",,,,,,,,"Zahlung ausstehend"
"Warendorfer Straße 207",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 207",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 203",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 203",Sonntag,Verkauft,"Kein Kunde",1797,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 201",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 201",Sonntag,Verkauft,"Kein Kunde",1797,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 199",Samstag,Verkauft,"Silke Renkert (Privat_troedel)",1879,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 199",Sonntag,Frei,"Silke Renkert (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 197",Samstag,Verkauft,"Silke Renkert (Privat_troedel)",1879,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 197",Sonntag,Frei,"Silke Renkert (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 195",Samstag,Verkauft,"Eleonore Guenther (Privat_anlieger)",1485,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 195",Sonntag,Frei,"Eleonore Guenther (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 193",Samstag,Verkauft,"Eleonore Guenther (Privat_anlieger)",1485,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 193",Sonntag,Verkauft,"Eleonore Guenther (Privat_anlieger)",1485,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 191",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 191",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 189",Samstag,Verkauft,"Ingo Bergener (Privat_troedel)",1653,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 189",Sonntag,Verkauft,"Ingo Bergener (Privat_troedel)",1653,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 187",Samstag,Verkauft,"Ingo Bergener (Privat_troedel)",1635,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 187",Sonntag,Verkauft,"Ingo Bergener (Privat_troedel)",1635,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 185",Samstag,Verkauft,"Ingo Bergener (Privat_troedel)",1651,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 185",Sonntag,Verkauft,"Ingo Bergener (Privat_troedel)",1651,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 173",Samstag,Verkauft,"Annerose Westphal (Privat_troedel)",1756,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 173",Sonntag,Verkauft,"Annerose Westphal (Privat_troedel)",1756,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 171",Samstag,Verkauft,"Ralf Jürgens (Privat_troedel)",1687,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 171",Sonntag,Verkauft,"Ralf Jürgens (Privat_troedel)",1687,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 169",Samstag,Verkauft,"Ralf Jürgens (Privat_troedel)",1687,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 169",Sonntag,Verkauft,"Ralf Jürgens (Privat_troedel)",1687,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 167",Samstag,Verkauft,"Sandra Wickinghoff (Privat_anlieger)",1540,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 167",Sonntag,Frei,"Sandra Wickinghoff (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 165",Samstag,Verkauft,"Sandra Wickinghoff (Privat_anlieger)",1540,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 165",Sonntag,Frei,"Sandra Wickinghoff (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 163",Samstag,"Reserviert (Admin)","Christina  Nüßing  (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 163",Sonntag,"Reserviert (Admin)","Christina  Nüßing  (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 161",Samstag,"Reserviert (Admin)","Christina  Nüßing  (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 161",Sonntag,"Reserviert (Admin)","Christina  Nüßing  (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 159",Samstag,"Reserviert (Admin)","Christina  Nüßing  (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 159",Sonntag,"Reserviert (Admin)","Christina  Nüßing  (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 157",Samstag,Verkauft,"Maria Westhoff (Privat_troedel)",1735,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 157",Sonntag,Frei,"Maria Westhoff (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 155",Samstag,Verkauft,"Volker Meyer-Carlstädt (Privat_troedel)",1691,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 155",Sonntag,Frei,"Volker Meyer-Carlstädt (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 153",Samstag,Verkauft,"Volker Meyer-Carlstädt (Privat_troedel)",1691,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 153",Sonntag,Verkauft,"Volker Meyer-Carlstädt (Privat_troedel)",1691,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 151",Samstag,Verkauft,"Volker Meyer-Carlstädt (Privat_troedel)",1691,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 151",Sonntag,Verkauft,"Volker Meyer-Carlstädt (Privat_troedel)",1691,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 149",Samstag,Verkauft,"Sadettin Topaloglu (Privat_anlieger)",1549,30€,3m,"0,6m",,,,,,,"In der Karte ist die Nummer 149 hinterlegt.

Geht um die Warendorfer Straße 49",Bezahlt
"Warendorfer Straße 149",Sonntag,Verkauft,"Sadettin Topaloglu (Privat_anlieger)",1549,30€,3m,"0,6m",,,,,,,"In der Karte ist die Nummer 149 hinterlegt.

Geht um die Warendorfer Straße 49",Bezahlt
"Warendorfer Straße 147",Samstag,Verkauft,"Natascha Schröder (Privat_troedel)",1899,30€,3m,"0,6m",,,,,,,"Ggf mit Pavillon bei Regenwetter",Bezahlt
"Warendorfer Straße 147",Sonntag,Verkauft,"Natascha Schröder (Privat_troedel)",1899,30€,3m,"0,6m",,,,,,,"Ggf mit Pavillon bei Regenwetter",Bezahlt
"Warendorfer Straße 145",Samstag,Verkauft,"Tanja Bieberstein (Privat_anlieger)",1542,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 145",Sonntag,Verkauft,"Tanja Bieberstein (Privat_anlieger)",1542,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 143",Samstag,Verkauft,"Tanja Bieberstein (Privat_anlieger)",1542,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 143",Sonntag,Verkauft,"Tanja Bieberstein (Privat_anlieger)",1542,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 123",Samstag,Verkauft,"Simone Ripke (Privat_anlieger)",1490,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 123",Sonntag,Verkauft,"Simone Ripke (Privat_anlieger)",1490,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 121",Samstag,Verkauft,"Simone Ripke (Privat_anlieger)",1490,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 121",Sonntag,Verkauft,"Simone Ripke (Privat_anlieger)",1490,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 119",Samstag,Verkauft,"Simone Ripke (Privat_anlieger)",1490,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 119",Sonntag,Verkauft,"Simone Ripke (Privat_anlieger)",1490,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 117",Samstag,Verkauft,"Anja Voß (Privat_anlieger)",1538,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 117",Sonntag,Verkauft,"Anja Voß (Privat_anlieger)",1538,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 115",Samstag,Verkauft,"Anja Voß (Privat_anlieger)",1538,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 115",Sonntag,Verkauft,"Anja Voß (Privat_anlieger)",1538,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 113",Samstag,Verkauft,"Jennifer Kors (Privat_troedel)",1736,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 113",Sonntag,Frei,"Jennifer Kors (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 111",Samstag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 111",Sonntag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 109",Samstag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 109",Sonntag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 107",Samstag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 107",Sonntag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 105",Samstag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 105",Sonntag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 103",Samstag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 103",Sonntag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 101",Samstag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 101",Sonntag,"Reserviert (Admin)","Alfons Averhoff (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 99",Samstag,Verkauft,"Henriette Hüchtker (Privat_anlieger)",1703,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 99",Sonntag,Verkauft,"Henriette Hüchtker (Privat_anlieger)",1703,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 87",Samstag,Verkauft,"Christin Tewes (Privat_anlieger)",1554,30€,3m,"0,6m",,,,,,,"Buchungen für Familie sommer-barkey. Durch geführt von der Tochter.
Lg",Bezahlt
"Warendorfer Straße 87",Sonntag,Verkauft,"Christin Tewes (Privat_anlieger)",1554,30€,3m,"0,6m",,,,,,,"Buchungen für Familie sommer-barkey. Durch geführt von der Tochter.
Lg",Bezahlt
